17,12
13,17
12,14
15,16
16,12
13,16
15,17
12,11
13,20
14,14
15,17
16,15
17,16
18,16
15,15
15,19
19,13
14,12
13,14
18,16
14,18
17,16
15,13
20,14
13,12
16,15
19,17
13,18
14,19
17,12
16,15
19,17
17,14
18,16
13,13
18,19
8,18
18,14
12,15
13,12
15,16
16,13
14,17
18,12
15,16
13,12
18,18
16,15
15,12
8,13
20,16
16,14
18,17
14,18
15,19
12,15
17,16
14,12
13,13
15,12
9,14
11,18
19,16
13,13
18,14
19,17
14,15
17,12
15,18
11,16
17,14
15,13
13,12
19,15
11,17
14,18
12,14
16,16
12,13
11,14
12,12
17,11
15,16
